coding_order,trace_id,difficulty,endpoint,first_bad_step,phase,failure_mode,mode_name,blame_final,one_line,evidence_quote,tests_run_before_submit,verified_fix,gave_up,secondary,confidence,adjudication,cost_usd,seconds
50,pytest-dev__pytest-5840,15 min - 1 hour,wrong_or_no_fix,139,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the one-line realpath fix (step 115) removed the normcase lowercasing at the import site and passed the entire existing conftest suite (steps 117, 121), but the graded test keys the conftest cache by Path(str(p)).resolve(), which on py3.9 is hash-incompatible with the agent's py.path.local keys; the mismatch never surfaced in the trajectory, so first_bad_step is the final step.","-        conftestpath = unique_path(conftestpath)
+        conftestpath = conftestpath.realpath()",True,True,False,"steps 33-100 spent ~half the trajectory on dead ends (offline pip downloads, hunting for the future fix in git) after the mechanism was already understood at step 32",med,uphold_eval_side:spec_underdetermined,0.025585,544
51,astropy__astropy-14598,15 min - 1 hour,wrong_or_no_fix,108,verification,M1,dismissed red evidence it had itself produced,agent,"after its own fuzzer still failed 291/300 quote round-trips post-fix, step 108 confirmed the patch changed only one fuzz case and the agent wrote the rest off as pre-existing without classifying any of them, missing that the space-after-quotes case (graded testval ""x''  xxx"") was still broken by the unanchored _strg_comment_RE the gold patch also fixed.",mod fails 291\norig fails 292\ndiff at 217 mod True orig False,True,True,False,,med,,0.018292,321
52,django__django-13195,15 min - 1 hour,partial_fix,29,fix_design,M2,scoped out a visible sibling of the same bug,agent,"step 29 added samesite as an opt-in pass-through parameter only, although the issue text explicitly stated browsers ignore SameSite=None deletions without Secure and named the messages-app call site; the fix set neither secure-for-samesite-none nor updated the messages/sessions callers, and step 68 saw both call sites yet left them unchanged.","def delete_cookie(self, key, path='/', domain=None, samesite=None):",True,True,False,,high,,0.004576,89
53,django__django-10097,<15 min fix,partial_fix,111,submission,E2,the grading machinery itself broke,exam,"the submitted regex change is byte-identical to the gold patch and the agent verified it against the PR's updated test data (steps 87-92), yet grading reports unrelated auth_tests template and generic_inline_admin failures; nothing in the trajectory could have caused or revealed them, so first_bad_step is the final step.","-        r'(?:\S+(?::\S*)?@)?'  # user:pass authentication
+        r'(?:[^\s:@/]+(?::[^\s:@/]*)?@)?'  # user:pass authentication",True,True,False,,high,uphold_eval_side:env_flake,0.009758,290
54,django__django-14315,<15 min fix,partial_fix,23,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"the issue stated 'postgresql client returns empty dict instead of None for env', but step 23 patched the base runshell consumer to convert {} to None while leaving the postgres settings_to_cmd_args_env returning {}, preserving the stale test contract; the graded tests assert the method itself returns None.",        elif env is not None:\n            env = None,True,True,False,,high,,0.004428,95
55,sympy__sympy-15017,<15 min fix,wrong_or_no_fix,83,fix_design,M4,committed to a fix design against an available signal,agent,"step 83 added a rank-0 guard in _parse_index so a[0] keeps raising ValueError, chosen to preserve the old test's raises() assertion (and numpy 0-d behavior) even though the agent treated the neighboring len==0 assertion of the same test as stale; the graded test flipped that line to rank_zero_array[0] == x, which the loop_size-only minimal fix would have satisfied.","if isinstance(index, (SYMPY_INTS, Integer)):\n            if self._rank == 0:\n                raise ValueError(\""index out of range\"")",True,True,False,,med,overturn_to_agent,0.038868,607
56,django__django-16502,15 min - 1 hour,wrong_or_no_fix,141,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the finish_response override delivered exactly what the issue asked (headers, no body, verified end-to-end at steps 97-108), but it counts bytes so wsgiref still emits a Content-Length on HEAD responses; the graded test additionally requires that header dropped per the gold patch's RFC 9110 'permitted omission' choice, a requirement never stated in the issue and never visible in the trajectory, so first_bad_step is the final step.","b'HTTP/1.1 200 OK\\r\\nDate: Sat, 15 Aug 2026 19:05:22 GMT\\r\\nServer: WSGIServer/0.2 CPython/3.11.10\\r\\nContent-Type: text/html\\r\\nContent-Length: 58\\r\\nConnection: close\\r\\n\\r\\n'",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.02007,481
57,astropy__astropy-13977,15 min - 1 hour,partial_fix,87,fix_design,M4,committed to a fix design against an available signal,agent,"step 87 wrapped only the input-converter loop in a blanket except (TypeError, ValueError) -> return NotImplemented, unconditionally deferring on any conversion error instead of gating on whether another operand overrides __array_ufunc__ (the condition the code comment it read at step 48 points to), so errors arising outside the loop stay uncaught and genuine errors between plain Quantities get swallowed.","try:\n                arrays.append(converter(input_) if converter else input_)\n            except (TypeError, ValueError):\n                return NotImplemented",True,True,False,step 174 showed the patch converts a genuine _UFuncNoLoopError between two plain Quantities into NotImplemented; the agent confirmed the behavior change and shipped without narrowing the catch,med,,0.027496,460
58,matplotlib__matplotlib-20859,<15 min fix,wrong_or_no_fix,40,fix_design,M4,committed to a fix design against an available signal,agent,"step 40 went beyond the issue's own suggested one-line isinstance(FigureBase) change and also rewrote set_figure(parent) to set_figure(parent.figure), reattributing the legend to the root Figure; the grading test asserts leg.figure is the SubFigure, so this unforced extra semantic change is exactly what fails.","elif isinstance(parent, FigureBase):\n            self.isaxes = False\n            self.set_figure(parent.figure)",True,True,False,,high,,0.005064,140
59,django__django-11820,<15 min fix,partial_fix,108,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent correctly fixed and verified the reported pk-alias regression (that F2P test passes, zero regressions); the remaining failure test_ordering_pointing_multiple_times_to_model_fields grades the gold patch's extra '_cls = None' fix for traversal through non-relation fields, an adjacent bug the issue never mentioned, and the mismatch never surfaced during the run.",The fix is complete and verified.,True,True,False,,med,uphold_eval_side:spec_underdetermined,0.016006,305
60,django__django-15127,<15 min fix,wrong_or_no_fix,25,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 25 deleted the public module-level LEVEL_TAGS constant outright even though step 12's grep had shown the test suite reads and monkeypatches base.LEVEL_TAGS; step 40 then explicitly bet 'the evaluation's test patch will update that', but the gold fix keeps the constant (updated via setting_changed) and the new TestLevelTags test reads it, so the removal fails grading.",The existing test helper references the removed constant; the evaluation's test patch will update that.,True,True,False,,med,,0.003756,111
61,pydata__xarray-6938,15 min - 1 hour,wrong_or_no_fix,47,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"step 47 patched the swap_dims call site (later refined to .copy(deep=False) at step 63) even though step 20's id() check had already proven the mechanism is IndexVariable.to_index_variable() returning self; the aliasing method itself, which the gold test test_to_index_variable_copy targets directly, was left returning an alias.",var = v.to_index_variable()._replace(dims=dims),True,True,False,,med,,0.013379,872
62,scikit-learn__scikit-learn-12973,15 min - 1 hour,wrong_or_no_fix,12,fix_design,M2,scoped out a visible sibling of the same bug,agent,"step 12 resolved the duplicated copy_X only for the lars_path call and left _preprocess_data hardcoded to self.copy_X, so an explicit fit(copy_X=...) still cannot override the constructor for preprocessing -- the exact mixed behavior the issue complained about, and the case the failing test test_lasso_lars_fit_copyX_behaviour[False] checks.","X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(\n            X, y, self.fit_intercept, self.normalize, self.copy_X)",True,True,False,step 22 dismissed its own disconfirming test output ('explicit fit copy_X=False modifies X: False') by asserting it 'matches the upstream fix' without any evidence,high,,0.002172,91
63,django__django-12663,15 min - 1 hour,budget_stop,227,fix_design,M7,abandoned a validated fix for an unvalidated redesign,agent,"step 227 fully reverted the near-correct 'Option A' (select[0].target, which fixed the repro and passed three suites) after a single AttributeError whose message ('has no attribute target') points straight at a getattr fallback -- the gold fix is exactly getattr(select, 'target', None) or select.field; the agent instead pivoted at step 233 to a global Field.get_prep_value Model->pk coercion and the budget died before it was ever tested.","print(""reverted Option A"")",True,False,False,step 233's sweeping Field.get_prep_value edit was submitted with zero test runs (max_spend stop immediately after) and broke 135 previously passing tests,high,,0.058372,1272
64,django__django-11239,<15 min fix,wrong_or_no_fix,34,fix_design,M4,committed to a fix design against an available signal,agent,"step 34 appended libpq 'sslmode=...'/'sslcert=...' tokens as extra positional psql arguments after dbname -- an interface psql does not have (extra positionals are dbname/username) -- instead of following the PGPASSWORD env-var pattern two lines below in the same function (the gold fix uses PGSSLMODE etc.); the step 39 mock repro only echoed the args list back, so the invented interface was never validated against real psql.",+        if sslmode:\n+            args += ['sslmode=%s' % sslmode],True,True,False,,high,,0.003794,86
65,django__django-16667,15 min - 1 hour,partial_fix,45,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent reproduced the crash, added OverflowError to the existing except clause, and verified the form now fails validation cleanly (931 forms tests pass, the field-level F2P test passes); the one failing gold test asserts the widget must return the maintainer-chosen sentinel '0-0-0' for overflow rather than the pseudo-ISO string, a return value the issue never specified, and no step surfaced that expectation.","except (ValueError, OverflowError):",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.001904,60
66,sphinx-doc__sphinx-9461,1-4 hours,budget_stop,260,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"steps 135-154 fixed the real mechanism (classmethod-wrapped property evaluated by getattr) and verified it against a live build at step 144 and the autodoc suites at steps 158/240, but the graded tests demand a new :classmethod: option on py:property and a 'class property' rendering the issue never stated, so all 3 F2P tests fail on the missing marker; the mismatch never became visible and the run hit max_spend at step 260 mid-refinement.",---OUTPUT---\nTest\n****\n\nclass example.BaseClass\n\n   property baseclass_abstract_class_property\n\n      Abstract class property.,True,False,False,"after the suites passed at step 158 the agent spent ~100 steps probing edge cases without ever finalizing; the budget died immediately after an unverified last edit to getdoc at step 259, which was submitted untested",med,uphold_eval_side:spec_underdetermined,0.051416,772
67,sympy__sympy-16597,1-4 hours,wrong_or_no_fix,112,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"step 97 encoded the issue's literal rule (even/odd -> finite) and verified the repro at step 100; at step 112 the existing test_infinity/test_neg_infinity failed under the patch and the agent submitted anyway, betting the graders' updated tests would flip those asserts - they did (oo.is_even is False), but the gold rewrite also demands rational/algebraic/irrational -> finite so oo.is_integer becomes False, a scope the issue ('I'm not sure what the right answer is here') never specified.","File \""/testbed/sympy/core/tests/test_assumptions.py\"", line 114, in test_infinity\n    assert oo.is_even is None\nAssertionError",True,True,False,"at steps 165-166 the agent experimentally confirmed 'integer -> finite' worked (the direction the gold fix took) but reverted it in favor of the minimal rule, even though its patch already required test updates either way",med,uphold_eval_side:spec_underdetermined,0.029608,593
68,sphinx-doc__sphinx-8548,1-4 hours,regression_only,129,implementation,M6,implementation slip inverted its own stated plan,agent,"step 129's importer edit adds a base-class attr_docs entry whenever the name is not yet in members; because analyzer entries iterate base-class-first, a derived class that redefines an attribute (Bar.attr2 over Foo.attr2) gets the base entry recorded with class_=Foo and Foo's docstring, so the derived attribute is treated as inherited/misdocumented and P2P test_instance_variable breaks; the edge cases tested at steps 189-233 never included a derived override.",+            elif name not in members:\n+                # check base classes for inherited attributes\n+                for cls in getmro(subject):,True,True,False,,high,,0.041933,560
69,sphinx-doc__sphinx-9281,<15 min fix,wrong_or_no_fix,31,fix_design,M4,committed to a fix design against an available signal,agent,"step 31 rendered enum defaults via object.__class__.__qualname__; for an enum defined inside a function (the hidden test's case) that yields 'test_object_description_enum.<locals>.MyEnum.FOO' instead of 'MyEnum.FOO' - the well-known <locals> qualname gotcha was never checked (step 42 tested nested classes but not function-local ones), and it reintroduces exactly the ugliness the issue complains about.","+    if isinstance(object, enum.Enum):\n+        return '%s.%s' % (object.__class__.__qualname__, object.name)",True,True,False,,med,,0.004448,83
70,django__django-12308,<15 min fix,wrong_or_no_fix,55,fix_design,M4,committed to a fix design against an available signal,agent,"step 55 routes JSONField display through formfield().prepare_value() (the issue's own suggestion), but that json.dumps path raises TypeError for non-JSON-serializable values like the hidden test's tuple-key dict, crashing a readonly display path where the gold fix falls back to repr; step 60's edge-case sweep covered InvalidJSONInput, custom encoders and None but never an unserializable value.","+    elif isinstance(field, models.JSONField):\n+        return field.formfield().prepare_value(value)",True,True,False,"the second F2P test (test_label_for_field) also fails, which the visible two-line diff does not explain",med,,0.008269,146
71,sphinx-doc__sphinx-10614,15 min - 1 hour,wrong_or_no_fix,128,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the fix makes subdirectory SVG links resolve correctly and was verified end-to-end with real builds across five configurations (steps 82-124) plus the pre-gold svg test (step 88, 11 passed); the graded replacement test adds an intersphinx external-reference scenario the issue never mentioned, and the gold patch's key change (keying URLs by the external target name and leaving refuri untransformed) is what that scenario requires - the mismatch was never visible to the agent, so first_bad_step is the last step.","=== Final SVG link ===\nhref=\""../my_package/my_class_1.html#my_package.MyClass1\""",True,True,False,"step 77's posixpath.join of dirname(current_filename) with refuri would mangle an absolute (external) refuri, though such links were equally broken before the patch",med,uphold_eval_side:spec_underdetermined,0.017032,285
72,django__django-15957,1-4 hours,budget_stop,131,fix_design,M4,committed to a fix design against an available signal,agent,"step 131 designed _prefetch_queryset_with_limits to clear the slice, filter, then re-apply the same low/high marks to the combined prefetch query, making the slice a global LIMIT across all parent objects when the issue asks for N examples per parent; step 154 even printed the SQL (book_id IN (1, 2) ... LIMIT 2) and both books sharing one author without questioning the semantics.","queryset.query.clear_limits()
    queryset = func(queryset)
    queryset.query.set_limits(low_mark, high_mark)",True,True,False,,high,,0.049449,900
73,sympy__sympy-13091,15 min - 1 hour,partial_fix,115,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 107's own verify script printed 'Integer(1) == f1: False' (the identical asymmetry in Number.__eq__), steps 109-112 located the same 'return False # sympy != other' in numbers.py, then step 115 rationalized Basic-only coverage as 'the likely test scenario' instead of extending the fix to the Number subclasses (which the failing F2P test exercises).",Let me verify the fix works with `Basic()` directly (the likely test scenario):,True,True,False,,high,,0.016474,311
74,django__django-12325,1-4 hours,wrong_or_no_fix,102,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent fixed the reported order-dependence by letting parent_link=True fields win the parent_links slot and deliberately preserved the repo's existing ImproperlyConfigured behavior (verified at step 52 as 'Case 3 OK'); the grading tests delete that in-repo test (test_missing_parent_link) and demand the opposite behavior (no error, auto-created parent link), a contradiction no signal in the run ever surfaced, so first_bad_step is the last step.",Case 3 OK: single non-parent-link still raises correctly,True,True,False,,high,uphold_eval_side:spec_underdetermined,0.011736,262
75,astropy__astropy-13033,15 min - 1 hour,wrong_or_no_fix,149,implementation,M6,implementation slip inverted its own stated plan,agent,"step 149 replaced the validated guard (missing and colnames[0]==required[0], shown at step 120 to fix the extra-columns case) with the narrower len(colnames) < len(required) check; step 160 then reprinted the original misleading X-but-found-X message for exactly the reported scenario and the agent still submitted after re-running only the fewer-columns repro.",ValueError BinnedTimeSeries object is invalid - expected 'time_bin_start' as the first columns but found 'time_bin_start',True,True,False,"independent grading gap: the F2P test asserts the gold message verbatim (""expected ['time', 'a'] as the first columns but found ['time', 'b']""), wording the issue never specified, so even the pre-regression variant's 'missing required column' message would have failed",high,,0.023977,496
76,sympy__sympy-20438,15 min - 1 hour,wrong_or_no_fix,167,fix_design,M7,abandoned a validated fix for an unvalidated redesign,agent,"step 158 showed the reported simplify() crash still reproducing for undecidable set equality (Eq(ProductSet, FiniteSet) with symbols); after the step 161 hasattr guard exposed the next non-Expr crash (as_coeff_add, step 166), step 167 reverted the relational.py change entirely instead of guarding _eval_simplify for non-Expr sides, shipping with the crash path intact, which test_issue_19378's Eq({1}, {x}).simplify() hits.",ERR AttributeError 'Complement' object has no attribute 'as_coeff_add',True,True,False,,high,,0.038619,635
77,sympy__sympy-13798,15 min - 1 hour,wrong_or_no_fix,25,fix_design,M4,committed to a fix design against an available signal,agent,"step 25 made mul_symbol_latex_numbers fall back to the raw custom symbol even though the line being edited ('mul_symbol or dot') shows number-number separation deliberately always gets a visible \cdot; step 34 then printed '1.5\\,10^{20}\\,x' (thin space between numerals) alongside the default '1.5 \\cdot 10^{20} x' without questioning it, and the F2P test pins \cdot for the numbers case.","'1.5\\,10^{20}\\,x'",True,True,False,,med,,0.004696,116
78,matplotlib__matplotlib-26208,<15 min fix,wrong_or_no_fix,176,fix_design,M7,abandoned a validated fix for an unvalidated redesign,agent,"step 153 demonstrated that copying units onto the twin axis fixes the bug, but step 176 discarded that validated one-line fix and instead rewrote add_collection/relim to support Collections, changing behavior the code comments mark as deliberately unsupported; the graded test_twin_units checks exactly the units-inheritance the agent had proven and dropped",ax2.xaxis.units = ax1.xaxis.units,True,True,False,"graded test asserts ax2.xaxis.units is ax1.xaxis.units, an implementation choice stronger than the issue's stated symptom; even a correct symptom fix without units inheritance fails it",med,,0.042694,841
79,sympy__sympy-18763,<15 min fix,wrong_or_no_fix,65,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"step 29's conditional parenthesize reproduced the issue's exact requested output (step 33) and kept the then-checked-in test_latex_subs expectation that x*y prints without parens, but the gold test rewrote that expectation to demand parentheses around every Subs expr; the mismatch was never visible to the agent, so first_bad_step is the final step",r'\left. x y \right|_{\substack{ x=1\\ y=2 }}',True,True,False,,high,uphold_eval_side:spec_underdetermined,0.00481,117
80,matplotlib__matplotlib-23299,15 min - 1 hour,wrong_or_no_fix,102,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the sentinel-only skip (steps 66/75) fixed the reported Gcf-clearing bug, and step 82's edge case 4 deliberately preserved the pre-existing behavior of restoring an explicitly-set backend on context exit, but the graded test_no_backend_reset_rccontext requires that the backend key never be restored at all, a broader semantics change the issue never stated; the mismatch never surfaced, so first_bad_step is the final step",Case 4 (explicit switch inside context restored): OK,True,True,False,,med,uphold_eval_side:spec_underdetermined,0.009161,211
81,sympy__sympy-14976,15 min - 1 hour,wrong_or_no_fix,117,implementation,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent's _print_Rational emitting mpf(232)/3 (step 63/64) is numerically equivalent at all precisions to the gold's mpf(232)/mpf(3), and the agent verified full-precision nsolve results (steps 67, 115), but the graded test_MpmathPrinter asserts the exact string 'mpmath.mpf(1)/mpmath.mpf(2)'; the string mismatch was never observable, so first_bad_step is the final step",'mpf(232)/3',True,True,False,,high,uphold_eval_side:spec_underdetermined,0.011646,205
82,django__django-13212,1-4 hours,partial_fix,209,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the patch added params={'value': value} to every raise in django/core/validators.py (steps 63-84, 175) and passed all visible suites plus manual placeholder repros, which is what the issue text asked for, but 2 of 5 hidden tests exercise DecimalField/FileField form-field error paths in django/forms/fields.py that the gold PR also restructured; that wider scope was never stated and never surfaced, so first_bad_step is the final step",Updated all core validators that previously raised `ValidationError` without params,True,True,False,,med,uphold_eval_side:spec_underdetermined,0.031289,1196
83,pytest-dev__pytest-7324,15 min - 1 hour,wrong_or_no_fix,83,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 18 read test_valid_idents listing True/False/if/else/while as valid identifiers and step 20 saw if/else/while passing on the base, yet step 83 chose to reject all Python keywords with ParseError, converting passing tests into failures (3 P2P regressions at step 92) and then explaining the red tests away as expected upstream test updates instead of reconsidering",these are the test cases the upstream PR's test patch updates (moving keywords to invalid). The source fix is correct.,True,False,False,,high,,0.02988,620
84,sphinx-doc__sphinx-9602,15 min - 1 hour,wrong_or_no_fix,181,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"step 111/123 fixed the nitpick bug by rendering Literal values as desc_sig_keyword/desc_sig_literal_* nodes, and steps 113-160 verified repro plus 186 tests green; the graded test (added by the gold patch, absent from the repo) demands the literal values as plain Text nodes via repr(), a node-structure detail the issue never stated, so the mismatch never became visible before the final step.",=== Literal[True]\npending_xref 'Literal'\ndesc_sig_punctuation '['\ndesc_sig_keyword 'True',True,True,False,,high,uphold_eval_side:spec_underdetermined,0.027483,474
85,sphinx-doc__sphinx-11510,1-4 hours,budget_stop,213,fix_design,M1,dismissed red evidence it had itself produced,agent,step 213 applied the temp-file re-include design to the real source even though its own prototypes had already shown the design defeats docutils' circular-include guard (step 186: include_log fills with unique temp names; step 205: circular docs re-read in a loop with no circular warning); the run then burned its remaining budget triaging the latin-1 :encoding: regression the same design caused (steps 233-245) and was killed by max_spend without a final answer.,"DEBUG after super().run(): include_log = [('a.rst', (None, None, None, None)), ('.sphinx-include-3m5nem34.rst', (None, None, None, None))]",True,True,False,"budget burn: offline pip download attempts (steps 37, 79) and ~90 steps of repo archaeology before any fix design shortened the runway that the endgame regression triage then exhausted",med,,0.054527,910
86,pydata__xarray-7229,15 min - 1 hour,wrong_or_no_fix,142,fix_design,M4,committed to a fix design against an available signal,agent,"step 142's _keep_attrs indexes the merged-attrs list with x_idx computed once from whether cond has attrs, assuming every merge_attrs call receives one entry per xarray argument in (cond, x, y) order; the list actually contains only the objects participating in that particular merge (e.g. only the Datasets, or only owners of a coord), and the edge tests at 144-151 used identical or non-discriminating x/y so the wrong-index case was never exercised.","x_idx = 1 if hasattr(cond, ""attrs"") else 0",True,True,False,,med,,0.039487,1140
87,django__django-13794,<15 min fix,partial_fix,63,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"steps 45-46 had already shown plain 'foo' + lazy_str raises TypeError at the __proxy__ level (independent of the template filter), yet steps 63-65 patched only the add filter to cast Promises before concatenating, leaving the lazy proxy class itself without __add__/__radd__; the graded utils_tests test_lazy_add exercises the proxy directly and still fails.","<class 'TypeError'> must be str, not __proxy__",True,True,False,,med,,0.014072,448
88,django__django-13406,<15 min fix,budget_stop,147,fix_design,M4,committed to a fix design against an available signal,agent,"step 147 (and 153-157) committed to persisting QuerySet presentation state (_iterable_class, _fields) onto the Query object so a pickled values_list round-trips with its original tuple/flat/named iterables, instead of the minimal values_select-based restore; the graded tests prescribe that pickled values_list queries reload as values() dicts, so two hidden tests fail while the issue's own values()+annotate scenario passes (1/3 F2P).","original: <QuerySet [('foo',)]> <class 'tuple'>\nrecreated: <QuerySet [('foo',)]> <class 'tuple'>",True,False,False,"budget management: after all suites were green at step 230 the agent spent ~70 more steps probing edge cases and flip-flopping the query.setter (283 vs 299), and the run died on max_spend right after the step-299 edit with no re-run and no final answer",med,overturn_to_agent,0.048678,923
89,sympy__sympy-13852,1-4 hours,wrong_or_no_fix,141,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"by step 141 the agent had implemented and verified both behaviors the issue states (polylog(2,1/2) closed form at step 71, exp_polar removal at step 19, checks passing at step 104); the grading test test_polylog_values additionally demands polylog(2,2) and golden-ratio special values the issue never mentions, and that mismatch was never visible in the run.",direct: -log(2)**2/2 + pi**2/12\nexpand: -log(2)**2/2 + pi**2/12,True,True,False,,high,uphold_eval_side:spec_underdetermined,0.02091,335
90,sympy__sympy-21596,15 min - 1 hour,wrong_or_no_fix,178,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"by step 178 every behavior stated in the PR was verified passing (step 171: 2 not in S1.intersect(Reals), intersect == {-1,1}); the updated F2P test also asserts gold's ConditionSet-shaped output for an expanded-quadratic imaginary part, an input form and structural result the issue never specified, and the agent's solveset_real-based fix returns the (mathematically stronger) solved FiniteSet instead.","2 in S1.intersect(Reals): False\nS1.intersect(S2): FiniteSet(-1, 1)",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.023622,427
91,astropy__astropy-14369,1-4 hours,partial_fix,85,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the run reproduced the bug (step 11), fixed division associativity, regenerated the parsetab (step 48), and verified the issue's exact table output (step 84); the one remaining F2P failure, test_cds_grammar_fail[km/s.Mpc-1], demands product-after-slash strings raise a syntax error, a strictness rule the issue never states and that the pre-existing grammar (kg/m.s2, step 22) also accepted, so the mismatch was never visible.",'J/m/s2.kpc2'          -> J / (kpc2 m s2),True,True,False,,med,uphold_eval_side:spec_underdetermined,0.012734,157
92,matplotlib__matplotlib-23476,<15 min fix,wrong_or_no_fix,61,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"step 61 patched FigureCanvasBase.__init__ to preserve _original_dpi across canvas re-creation, which stops the compounding but leaves the ratio-scaled dpi baked into the pickled state; its own step 64 output shows the inconsistent result (dpi 200, original_dpi 100, ratio 1 after unpickle) that the F2P test rejects (expects unpickled dpi back at the logical 42, not 42*7).",0 after unpickle fig.dpi 200 original_dpi 100 ratio 1,True,True,False,,med,,0.011291,218
93,sphinx-doc__sphinx-10435,<15 min fix,wrong_or_no_fix,46,implementation,M5,verified against evidence that never exercised the bug,agent,"step 46 appended the trailing comment as '%}}' (percent at the start of the closing line) instead of the issue's explicitly quoted target 'pass%\n}}', so the newline after the code stays uncommented and the closing braces get commented out; step 51 then misread the output as correct and step 81 validated against the agent's own wrong format rather than the spec in the problem statement.",self.body.append('%}}'),True,False,False,,high,,0.00908,194
94,django__django-11141,15 min - 1 hour,regression_only,66,verification,M1,dismissed red evidence it had itself produced,agent,"step 66 dismissed the failing test_load_empty_dir as a stale test that the hidden patch would update, although the test name and the known directory contents (steps 11-12: the namespace dir holds no migration files) signaled a real regression: the bare removal of the __file__ check makes empty migration-less dirs count as migrated, which gold avoided by adding the migration_names check.",The old test expects the previous behavior; the hidden updated tests will reflect the new behavior.,True,True,False,,high,,0.008247,207
95,pytest-dev__pytest-10356,1-4 hours,wrong_or_no_fix,74,fix_design,M4,committed to a fix design against an available signal,agent,"step 74 merged class marks using reversed(obj.__mro__) (base-first order) although the issue's own metaclass repro concatenates pytestmark in plain __mro__ order (subclass-first), the one ordering spec available; all later verification (steps 97-98, 138) checked only set membership, never order, so the order-sensitive F2P assert [c, a, b] fails against the agent's [b, a, c].","x.__dict__.get(""pytestmark"", []) for x in reversed(obj.__mro__)",True,True,False,,med,,0.018555,463
96,sympy__sympy-18199,1-4 hours,wrong_or_no_fix,78,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"by step 78 the agent had fixed exactly what the issue reports (zero root when a % p == 0 for prime p) and brute-force verified all primes < 100 with zero failures (step 65); the F2P test test_solve_modular requires composite-modulus nthroot_mod support that only the gold patch's extra _nthroot_mod_composite provides and the issue never requested, and no step surfaced that requirement.",total bad: 0,True,True,False,,high,uphold_eval_side:spec_underdetermined,0.007123,155
97,sphinx-doc__sphinx-9258,<15 min fix,wrong_or_no_fix,127,verification,M5,verified against evidence that never exercised the bug,agent,"step 122's repro output plainly showed the split targets carrying whitespace (reftarget=""bytes "" and "" str"") because the added delimiter was \| with no \s* around it, but step 127 declared 'The fix works' and moved on to regression runs without ever reading the reftargets, so the gold test's clean 'int'/'str' xrefs and ' | ' separator never match.","reftarget=\""bytes \"" reftype=\""class\""",True,True,False,,high,,0.016645,266
98,django__django-11400,1-4 hours,partial_fix,123,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"step 88 had already proven the mechanism (order_by() with no args clears Meta.ordering inside get_choices, whose code it read at steps 9 and 100), but step 123 instead bolted a Meta-ordering fallback onto the two admin-filter call sites, leaving Field.get_choices/ForeignObjectRel.get_choices still destroying default ordering, which is exactly what the two failing GetChoicesOrderingTests exercise.",if not ordering:\n            ordering = field.remote_field.model._meta.ordering,True,True,False,,med,,0.02084,448
99,sympy__sympy-20916,<15 min fix,wrong_or_no_fix,176,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"step 135's regex change fixes exactly what the issue reports and step 163 verified all 24 Greek letters render subscripts; the grading test_super_sub additionally asserts unicode-digit subscripts like w\U0001d7d9 that the issue never mentions and that even the broader [^\W\d_]+ variant the agent trialed at step 113 (still with [0-9] digits) would fail; the mismatch never became visible, so it is anchored at the final step.",_name_with_digits_p = re.compile(r'^([a-zA-Z]+|[\u03b1-\u03c9\u0391-\u03a9]+)([0-9]+)$'),True,True,False,at step 113 the agent had the general [^\W\d_]+ letter class working and chose the narrower Greek-only range; that choice cost nothing for the graded Greek asserts but is the kind of minimalism that loses when graders generalize,high,uphold_eval_side:spec_underdetermined,0.016904,333
